timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1574893137,51,51.0,51.0,51.0,2.09,1.30,4.49,5.76,8.95,8.95,0.00,13,13.0,13.0,13.0,298.25,122.49,638.06,817.89,817.89,817.89,0.00000
1574893138,51,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.77,26,13.0,13.0,13.0,707.24,921.70,1379.93,1824.52,1824.52,1824.52,0.77353
1574893139,105,54.0,54.0,54.0,2.37,0.84,1.93,4.00,73.99,73.99,1.21,46,20.0,20.0,20.0,543.08,389.02,1792.02,2082.47,2082.47,2082.47,1.20998
1574893140,120,15.0,15.0,15.0,31.36,1.05,35.85,421.00,421.00,421.00,1.75,62,16.0,16.0,16.0,519.15,395.58,1089.47,1463.81,1463.81,1463.81,1.74839
1574893141,132,12.0,12.0,12.0,0.77,0.71,0.90,1.08,1.08,1.08,2.52,83,21.0,21.0,21.0,470.47,258.34,1496.32,1583.35,1583.35,1583.35,2.52438
1574893142,135,3.0,3.0,3.0,0.85,0.86,1.09,1.09,1.09,1.09,2.83,99,16.0,16.0,16.0,676.81,362.55,1656.75,2298.48,2298.48,2298.48,2.82681
1574893143,144,9.0,9.0,9.0,0.77,0.68,1.06,1.06,1.06,1.06,3.55,111,12.0,12.0,12.0,733.94,461.37,1445.99,1816.13,1816.13,1816.13,3.55457
1574893144,198,54.0,54.0,54.0,0.91,0.68,1.34,4.39,6.40,6.40,-17.57,140,29.0,29.0,29.0,390.32,222.82,1632.63,1659.90,1659.90,1659.90,-17.57029
1574893145,229,31.0,31.0,31.0,0.76,0.66,0.95,3.24,3.24,3.24,-4.70,163,23.0,23.0,23.0,490.58,325.32,1637.88,1874.85,1874.85,1874.85,-4.70111
1574893146,253,24.0,24.0,24.0,0.89,0.62,1.10,5.77,5.77,5.77,-1.56,181,18.0,18.0,18.0,557.83,521.93,1118.83,1217.40,1217.40,1217.40,-1.55707
1574893147,253,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-1.35,198,17.0,17.0,17.0,435.21,283.90,954.20,1389.36,1389.36,1389.36,-1.34600
1574893148,274,21.0,21.0,21.0,0.75,0.65,0.89,2.92,2.92,2.92,-1.15,213,15.0,15.0,15.0,699.76,767.03,1171.26,1664.09,1664.09,1664.09,-1.15321
1574893149,306,32.0,32.0,32.0,0.60,0.57,0.74,1.05,1.05,1.05,-0.75,228,15.0,15.0,15.0,708.28,858.78,1137.70,1168.11,1168.11,1168.11,-0.75455
1574893150,328,22.0,22.0,22.0,0.65,0.64,0.80,0.85,0.85,0.85,-0.66,253,25.0,25.0,25.0,374.60,95.68,1124.07,1455.42,1455.42,1455.42,-0.65525
1574893151,342,14.0,14.0,14.0,0.61,0.56,0.73,0.97,0.97,0.97,-0.63,270,17.0,17.0,17.0,487.92,166.33,1641.02,1866.47,1866.47,1866.47,-0.62611
1574893152,375,33.0,33.0,33.0,0.64,0.57,0.90,1.21,1.21,1.21,-0.60,285,15.0,15.0,15.0,884.34,723.52,1896.87,2229.27,2229.27,2229.27,-0.59696
1574893153,375,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-0.58,305,20.0,20.0,20.0,580.45,465.31,1612.71,1708.13,1708.13,1708.13,-0.57800
1574893154,407,32.0,32.0,32.0,0.73,0.57,0.82,5.14,5.14,5.14,-1.65,327,22.0,22.0,22.0,439.50,365.69,843.06,877.66,877.66,877.66,-1.64508
1574893163,659,21.0,21.0,21.0,0.56,0.51,0.83,1.17,1.17,1.17,2.38,538,8.0,8.0,8.0,601.30,49.94,1912.60,1912.60,1912.60,1912.60,2.37623
1574893164,659,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,2.43,555,17.0,17.0,17.0,639.20,215.88,1615.86,1829.77,1829.77,1829.77,2.42986
1574893165,686,27.0,27.0,27.0,0.56,0.52,0.84,0.89,0.89,0.89,2.57,573,18.0,18.0,18.0,847.31,688.91,1795.16,1891.63,1891.63,1891.63,2.57260
1574893166,686,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,2.26,587,14.0,14.0,14.0,523.92,491.00,879.23,885.00,885.00,885.00,2.25853
1574893167,719,33.0,33.0,33.0,0.51,0.47,0.64,1.12,1.12,1.12,2.66,611,24.0,24.0,24.0,393.27,184.42,1244.66,1391.46,1391.46,1391.46,2.65550
1574893168,747,28.0,28.0,28.0,0.53,0.48,0.75,0.91,0.91,0.91,2.85,628,17.0,17.0,17.0,484.99,261.23,1724.91,1777.34,1777.34,1777.34,2.85261
1574893169,774,27.0,27.0,27.0,0.54,0.50,0.72,0.88,0.88,0.88,2.98,650,22.0,22.0,22.0,664.79,584.06,1779.43,2470.45,2470.45,2470.45,2.97954
1574893170,783,9.0,9.0,9.0,0.56,0.52,0.79,0.79,0.79,0.79,3.48,669,19.0,19.0,19.0,360.73,276.04,925.37,1259.34,1259.34,1259.34,3.48278
1574893171,814,31.0,31.0,31.0,0.60,0.48,1.15,2.08,2.08,2.08,3.96,695,26.0,26.0,26.0,468.66,262.28,1646.26,1731.20,1731.20,1731.20,3.96380
