timestamp,clients
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
1572471768,2
1572471769,2
1572471770,2
1572471771,2
1572471772,2
1572471773,2
1572471774,2
1572471775,2
1572471776,2
1572471777,2
1572471778,2
1572471779,2
1572471780,2
1572471781,2
1572471782,2
1572471783,2
1572471784,2
1572471785,2
1572471786,2
1572471787,2
1572471788,2
1572471789,2
1572471790,2
1572471791,2
1572471792,2
1572471793,2
1572471794,2
1572471796,3
1572471797,3
1572471798,3
1572471799,3
1572471800,3
1572471801,3
1572471802,3
1572471803,3
1572471804,3
1572471805,3
1572471806,3
1572471807,3
1572471808,3
1572471809,3
1572471810,3
1572471811,3
1572471812,3
1572471813,3
1572471814,3
1572471815,3
1572471816,3
1572471817,3
1572471818,3
1572471819,3
1572471820,3
1572471821,3
1572471822,3
1572471823,4
1572471824,4
1572471825,4
1572471826,4
1572471827,4
1572471828,4
1572471829,4
1572471830,4
1572471831,4
1572471832,4
1572471833,4
1572471834,4
1572471835,4
1572471836,4
1572471837,4
1572471838,4
1572471839,4
1572471840,4
1572471841,4
1572471842,4
1572471843,4
1572471844,4
1572471845,4
1572471846,4
1572471847,4
1572471848,4
1572471849,4
1572471850,5
1572471851,5
1572471852,5
1572471853,5
1572471854,5
1572471855,5
1572471856,5
1572471857,5
1572471858,5
1572471859,5
1572471860,5
1572471861,5
1572471862,5
1572471863,5
1572471864,5
1572471865,5
1572471866,5
1572471867,5
1572471868,5
1572471869,5
1572471870,5
1572471871,5
1572471872,5
1572471873,5
1572471874,5
1572471875,5
1572471876,5
1572471878,6
1572471879,6
1572471880,6
1572471881,6
1572471882,6
1572471883,6
1572471884,6
1572471885,6
1572471886,6
1572471887,6
1572471888,6
1572471889,6
1572471890,6
1572471891,6
1572471892,6
1572471893,6
1572471894,6
1572471895,6
1572471896,6
1572471897,6
1572471898,6
1572471899,6
1572471900,6
1572471901,6
1572471902,6
1572471903,6
1572471904,6
1572471905,7
1572471906,7
1572471907,7
1572471908,7
1572471909,7
1572471910,7
1572471911,7
1572471912,7
1572471913,7
1572471914,7
1572471915,7
1572471916,7
1572471917,7
1572471918,7
1572471919,7
1572471920,7
1572471921,7
1572471922,7
1572471923,7
1572471924,7
1572471925,7
1572471926,7
1572471927,7
1572471928,7
1572471929,7
1572471930,7
1572471931,7
1572471932,8
1572471933,8
1572471934,8
1572471935,8
1572471936,8
1572471937,8
1572471938,8
1572471939,8
1572471940,8
1572471941,8
1572471942,8
1572471943,8
1572471944,8
