timestamp,clients
1572493368,11
1572493369,11
1572493370,11
1572493371,11
1572493372,11
1572493373,11
1572493374,11
1572493375,11
1572493376,11
1572493377,11
1572493378,11
1572493379,11
1572493380,11
1572493381,11
1572493382,11
1572493383,11
1572493384,11
1572493385,11
1572493386,11
1572493387,11
1572493388,11
1572493389,11
1572493390,11
1572493391,11
1572493392,11
1572493393,11
1572493394,11
1572493395,11
1572493396,11
1572493397,11
1572493398,11
1572493399,11
1572493400,11
1572493401,11
1572493402,11
1572493403,11
1572493404,11
1572493405,11
1572493406,11
1572493407,11
1572493408,11
1572493409,11
1572493410,11
1572493411,11
1572493412,11
1572493413,11
1572493414,11
1572493415,11
1572493416,11
1572493417,11
1572493418,11
1572493419,11
1572493420,11
1572493421,11
1572493422,11
1572493423,11
1572493424,11
1572493425,11
1572493426,11
1572493427,11
1572493428,11
1572493429,11
1572493430,11
1572493431,11
1572493432,11
1572493433,11
1572493434,11
1572493435,11
1572493436,11
1572493437,11
1572493438,11
1572493439,11
1572493440,11
1572493441,11
1572493442,11
1572493443,11
1572493444,11
1572493445,11
1572493446,11
1572493447,11
1572493448,11
1572493449,11
1572493450,11
1572493451,11
1572493452,11
1572493453,11
1572493454,11
1572493455,11
1572493456,11
1572493457,11
1572493458,11
1572493459,11
1572493460,11
1572493461,11
1572493462,11
1572493463,11
1572493464,11
1572493465,11
1572493466,11
1572493467,11
1572493468,11
1572493469,11
1572493470,11
1572493471,11
1572493472,11
1572493473,11
1572493474,11
1572493475,11
1572493476,11
1572493477,11
1572493478,11
1572493479,11
1572493480,11
1572493481,11
1572493482,11
1572493483,11
1572493484,11
1572493485,11
1572493486,11
1572493487,11
1572493488,11
1572493489,11
1572493490,11
1572493491,11
1572493492,11
1572493493,11
1572493494,11
1572493495,11
1572493496,11
1572493497,11
1572493498,11
1572493499,11
1572493500,11
1572493502,10
1572493503,10
1572493504,10
1572493505,10
1572493506,10
1572493507,10
1572493508,10
1572493509,10
1572493510,10
1572493511,10
1572493512,10
1572493513,10
1572493514,10
1572493515,10
1572493516,10
1572493517,10
1572493518,10
1572493519,10
1572493520,10
1572493521,10
1572493522,10
1572493523,10
1572493524,10
1572493525,10
1572493526,10
1572493527,10
1572493528,10
1572493529,9
1572493530,9
1572493531,9
1572493532,9
1572493533,9
1572493534,9
1572493535,9
1572493536,9
1572493537,9
1572493538,9
1572493539,9
1572493540,9
1572493541,9
1572493542,9
1572493543,9
1572493544,9
1572493545,9
1572493546,9
1572493547,9
1572493548,9
1572493549,9
1572493550,9
1572493551,9
1572493552,9
1572493553,9
1572493554,9
1572493555,9
1572493557,8
1572493558,8
1572493559,8
1572493560,8
1572493561,8
1572493562,8
1572493563,8
1572493564,8
1572493565,8
1572493566,8
1572493567,8
1572493568,8
1572493569,8
1572493570,8
1572493571,8
1572493572,8
1572493573,8
1572493574,8
1572493575,8
1572493576,8
1572493577,8
1572493578,8
1572493579,8
1572493580,8
1572493581,8
1572493582,8
1572493583,8
1572493584,7
1572493585,7
1572493586,7
1572493587,7
1572493588,7
1572493589,7
1572493590,7
1572493591,7
1572493592,7
1572493593,7
1572493594,7
1572493595,7
1572493596,7
1572493597,7
1572493598,7
1572493599,7
1572493600,7
1572493601,7
1572493602,7
1572493603,7
1572493604,7
1572493605,7
1572493606,7
1572493607,7
1572493608,7
1572493609,7
1572493610,7
1572493611,6
1572493612,6
1572493613,6
1572493614,6
1572493615,6
1572493616,6
1572493617,6
1572493618,6
1572493619,6
1572493620,6
1572493621,6
1572493622,6
1572493623,6
1572493624,6
1572493625,6
1572493626,6
1572493627,6
1572493628,6
1572493629,6
1572493630,6
1572493631,6
1572493632,6
1572493633,6
1572493634,6
1572493635,6
1572493636,6
1572493637,6
1572493639,5
1572493640,5
1572493641,5
1572493642,5
1572493643,5
1572493644,5
1572493645,5
1572493646,5
1572493647,5
1572493648,5
1572493649,5
1572493650,5
1572493651,5
1572493652,5
1572493653,5
1572493654,5
1572493655,5
1572493656,5
1572493657,5
1572493658,5
1572493659,5
1572493660,5
1572493661,5
1572493662,5
1572493663,5
1572493664,5
1572493665,5
1572493666,4
1572493667,4
1572493668,4
1572493669,4
1572493670,4
1572493671,4
1572493672,4
1572493673,4
1572493674,4
1572493675,4
1572493676,4
1572493677,4
1572493678,4
1572493679,4
1572493680,4
1572493681,4
1572493682,4
1572493683,4
1572493684,4
1572493685,4
1572493686,4
1572493687,4
1572493688,4
1572493689,4
1572493690,4
1572493691,4
1572493692,4
1572493693,3
1572493694,3
1572493695,3
1572493696,3
1572493697,3
